Country,MilitaryStrengthPowerIndex,AircraftStrengthvalue,Fighter/InterceptorStrengthvalue,AttackAircraftStrengthvalue,TransportAircraftFleetStrengthvalue,TrainerAircraftFleetvalue,HelicopterFleetStrengthvalue,AttackHelicopterFleetStrengthvalue,TankStrengthvalue,AFV/APCStrengthvalue,Self-PropelledArtilleryStrengthvalue,TowedArtilleryStrengthvalue,RocketProjectorStrengthvalue,NavyFleetStrengthsvalue,AircraftCarrierFleetStrengthvalue,SubmarineFleetStrengthvalue,DestroyerFleetStrengthvalue,FrigateFleetStrengthvalue,defensespendingbudgetvalue,ExternalDebtvalue,AirportTotalsvalue,OilProductionvalue,OilConsumptionvalue,ProvenOilReservesvalue,AvailableManpowervalue,TotalPopulationvalue,TotalSquareLandAreavalue,TotalCoastlineCoveragevalue,TotalWaterwayCoveragevalue,TotalBorderCoveragevalue
Afghanistan,1.3444,260.0,0.0,25.0,30.0,0.0,187.0,0.0,0.0,1062.0,0.0,176.0,50.0,0.0,0.0,0.0,0.0,0.0,12000000000.0,2840000000.0,43.0,0.0,5500.0,0.0,14325743.0,34940837.0,652230.0,0.0,1200.0,5987.0
Albania,2.3137,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,467.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,250000000.0,9505000000.0,4.0,16000.0,42500.0,168300000.0,1519438.0,3057220.0,28748.0,362.0,41.0,691.0
Algeria,0.4659,551.0,103.0,22.0,59.0,87.0,257.0,45.0,880.0,7361.0,320.0,240.0,316.0,201.0,0.0,6.0,0.0,5.0,13000000000.0,6260000000.0,157.0,1306000.0,325000.0,12200000000.0,20741263.0,41657488.0,2381741.0,998.0,0.0,6734.0
Angola,0.8379,295.0,72.0,18.0,30.0,47.0,126.0,15.0,379.0,595.0,28.0,357.0,115.0,57.0,0.0,0.0,0.0,0.0,7000000000.0,42080000000.0,176.0,1666000.0,82300.0,8273000000.0,6244205.0,30355880.0,1246700.0,1600.0,1300.0,5369.0
Argentina,0.6521,227.0,24.0,7.0,9.0,64.0,100.0,0.0,370.0,739.0,83.0,172.0,26.0,49.0,0.0,2.0,4.0,0.0,4200000000.0,214900000000.0,1138.0,479400.0,685000.0,2185000000.0,20179430.0,44694198.0,2780400.0,4989.0,11000.0,11968.0
Armenia,2.1251,64.0,0.0,9.0,3.0,13.0,37.0,20.0,110.0,748.0,38.0,150.0,68.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,1385000000.0,10410000000.0,11.0,0.0,47500.0,0.0,1696085.0,3038217.0,29743.0,6171.3302752293575,0.0,1570.0
Australia,0.3225,464.0,82.0,6.0,38.0,174.0,133.0,22.0,59.0,3051.0,0.0,54.0,0.0,48.0,2.0,6.0,2.0,8.0,26300000000.0,1714000000000.0,480.0,263000.0,1005000.0,1821000000.0,10808002.0,23470145.0,7741220.0,25760.0,2000.0,3964.2248062015506
Austria,0.9568,120.0,15.0,0.0,11.0,32.0,62.0,0.0,56.0,467.0,33.0,0.0,0.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,3380000000.0,630800000000.0,52.0,14260.0,215000.0,43000000.0,4017691.0,8793370.0,83871.0,6171.3302752293575,0.0,2524.0
Azerbaijan,0.9463,147.0,17.0,12.0,1.0,29.0,88.0,17.0,570.0,1451.0,187.0,227.0,162.0,31.0,0.0,4.0,0.0,1.0,2805000000.0,17410000000.0,37.0,789300.0,180000.0,7000000000.0,5042346.0,10046516.0,86600.0,713.0,0.0,2468.0
Bahrain,1.8547,109.0,17.0,0.0,2.0,37.0,65.0,22.0,180.0,843.0,33.0,26.0,17.0,39.0,0.0,0.0,0.0,1.0,1415000000.0,52150000000.0,4.0,45000.0,55000.0,124600000.0,806505.0,1422659.0,760.0,161.0,0.0,3964.2248062015506
Bangladesh,0.7066,177.0,44.0,0.0,11.0,57.0,67.0,0.0,276.0,1230.0,18.0,419.0,72.0,112.0,0.0,2.0,0.0,8.0,3800000000.0,50260000000.0,18.0,3666.0,112000.0,28000000.0,78913289.0,159453001.0,143998.0,580.0,8370.0,4413.0
Belarus,0.8179,202.0,39.0,68.0,4.0,28.0,63.0,21.0,532.0,1560.0,482.0,228.0,238.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,623702800.0,39920000000.0,65.0,32000.0,190000.0,198000000.0,4982905.0,9527543.0,207600.0,6171.3302752293575,2500.0,3599.0
Belgium,1.0499,148.0,43.0,0.0,12.0,64.0,29.0,0.0,0.0,984.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,4921000000.0,1281000000000.0,41.0,0.0,645000.0,0.0,4833107.0,11570762.0,30528.0,67.0,2043.0,1297.0
Bhutan,10.1681,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,25120000.0,2671000000.0,2.0,0.0,2000.0,0.0,176808.0,766397.0,38394.0,6171.3302752293575,0.0,1136.0
Bolivia,0.9942,69.0,0.0,0.0,14.0,23.0,38.0,0.0,54.0,137.0,0.0,86.0,0.0,173.0,0.0,0.0,0.0,0.0,660000000.0,12810000000.0,855.0,59330.0,60000.0,211500000.0,5075416.0,11306341.0,1098581.0,6171.3302752293575,10000.0,7252.0
Bosnia and Herzegovina,3.8586,19.0,0.0,0.0,0.0,0.0,19.0,0.0,320.0,332.0,24.0,837.0,143.0,0.0,0.0,0.0,0.0,0.0,165000000.0,10870000000.0,24.0,0.0,32500.0,0.0,2394632.0,3849891.0,51197.0,20.0,0.0,1543.0
Botswana,2.0582,45.0,10.0,0.0,11.0,8.0,16.0,0.0,55.0,245.0,0.0,30.0,20.0,84.98387096774194,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,450000000.0,2187000000.0,74.0,0.0,16500.0,0.0,962617.0,2249104.0,581730.0,6171.3302752293575,0.0,4347.0
Brazil,0.1988,715.0,43.0,78.0,126.0,198.0,242.0,12.0,437.0,1820.0,132.0,565.0,84.0,112.0,0.0,6.0,0.0,7.0,27800000000.0,547400000000.0,4093.0,2622000.0,3020000.0,13000000000.0,107764996.0,208846892.0,8514877.0,7491.0,50000.0,16145.0
Bulgaria,0.8916,63.0,13.0,4.0,5.0,20.0,25.0,2.0,710.0,2000.0,506.0,350.0,192.0,29.0,0.0,0.0,0.0,4.0,1079000000.0,42060000000.0,68.0,1000.0,115000.0,15000000.0,3278916.0,7057504.0,110880.0,354.0,470.0,1806.0
Burkina Faso,1.9009,16.0,0.0,3.0,1.0,4.0,8.0,2.0,0.0,350.0,0.0,0.0,0.0,84.98387096774194,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,130000000.0,3056000000.0,23.0,0.0,10500.0,0.0,7800000.0,19742715.0,274200.0,6171.3302752293575,0.0,3611.0
Cambodia,2.0557,22.0,0.0,0.0,5.0,0.0,17.0,0.0,263.0,340.0,0.0,150.0,570.0,27.0,0.0,0.0,0.0,0.0,604000000.0,11870000000.0,16.0,0.0,42500.0,0.0,8120963.0,16449519.0,181035.0,443.0,3700.0,2530.0
Cameroon,1.9902,29.0,0.0,0.0,6.0,6.0,15.0,0.0,0.0,222.0,8.0,61.0,20.0,64.0,0.0,0.0,0.0,0.0,347000000.0,9375000000.0,33.0,75720.0,32500.0,200000000.0,9487157.0,25640965.0,475440.0,400.0,0.0,5018.0
Canada,0.3712,385.0,62.0,0.0,38.0,135.0,145.0,0.0,80.0,1973.0,0.0,133.0,0.0,64.0,0.0,4.0,0.0,12.0,22500000000.0,1608000000000.0,1467.0,3977000.0,2500000.0,169700000000.0,16110865.0,35881659.0,9984670.0,202080.0,636.0,8893.0
Central African Republic,3.2889,3.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,55.0,0.0,20.0,0.0,84.98387096774194,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,20000000.0,779900000.0,39.0,0.0,4500.0,0.0,2348581.0,5745062.0,622984.0,6171.3302752293575,2800.0,5920.0
Chad,1.6383,35.0,0.0,6.0,6.0,4.0,17.0,3.0,60.0,372.0,10.0,51.0,10.0,84.98387096774194,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,200000000.0,1724000000.0,59.0,128000.0,100000.0,1500000000.0,6030834.0,15833116.0,1284000.0,6171.3302752293575,0.0,6406.0
Chile,0.7668,282.0,44.0,0.0,30.0,93.0,92.0,0.0,300.0,1430.0,48.0,158.0,10.0,69.0,0.0,4.0,0.0,10.0,4250000000.0,183400000000.0,481.0,3244.0,325000.0,150000000.0,8657902.0,17925262.0,756102.0,6435.0,12290.0,7801.0
China,0.0691,3210.0,1232.0,371.0,224.0,314.0,911.0,281.0,3500.0,33000.0,3800.0,3600.0,2650.0,777.0,2.0,74.0,36.0,52.0,237000000000.0,1598000000000.0,507.0,3838000.0,13500000.0,25620000000.0,752855402.0,1384688986.0,9596961.0,14500.0,110000.0,22457.0
Colombia,0.6045,469.0,21.0,38.0,76.0,80.0,224.0,0.0,0.0,595.0,6.0,110.0,0.0,453.0,0.0,11.0,0.0,4.0,10600000000.0,124600000000.0,836.0,853600.0,300000.0,2002000000.0,24084498.0,48168996.0,1138910.0,3208.0,24725.0,6672.0
Croatia,1.0183,78.0,12.0,0.0,0.0,27.0,47.0,0.0,72.0,604.0,24.0,151.0,105.0,28.0,0.0,0.0,0.0,0.0,800000000.0,48100000000.0,69.0,14000.0,82000.0,71000000.0,2088265.0,4270480.0,56594.0,5835.0,785.0,2237.0
Cuba,1.2208,80.0,38.0,0.0,2.0,26.0,14.0,4.0,1180.0,670.0,100.0,150.0,100.0,12.0,0.0,0.0,0.0,2.0,500000000.0,30060000000.0,133.0,50000.0,152000.0,124000000.0,5980621.0,11116396.0,110860.0,3735.0,240.0,29.0
Czechia,0.5531,95.0,12.0,16.0,8.0,15.0,44.0,15.0,116.0,682.0,86.0,85.0,0.0,84.98387096774194,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,2969000000.0,205200000000.0,128.0,2000.0,200000.0,15000000.0,5011174.0,10686269.0,78867.0,6171.3302752293575,664.0,2046.0
Democratic Republic of the Congo,1.1389,53.0,2.0,4.0,13.0,0.0,34.0,8.0,175.0,100.0,16.0,120.0,57.0,20.0,0.0,0.0,0.0,0.0,100000000.0,4963000000.0,198.0,19160.0,10500.0,180000000.0,34112410.0,85281024.0,2344858.0,37.0,15000.0,10481.0
Denmark,0.7878,113.0,33.0,0.0,4.0,38.0,35.0,0.0,57.0,972.0,22.0,0.0,0.0,74.0,0.0,0.0,0.0,9.0,4760000000.0,484800000000.0,80.0,137100.0,162000.0,490600000.0,2590457.0,5809502.0,43094.0,7314.0,400.0,140.0
Dominican Republic,2.7504,49.0,0.0,8.0,10.0,4.0,28.0,0.0,6.0,20.0,0.0,20.0,0.0,33.0,0.0,0.0,0.0,0.0,760000000.0,29160000000.0,36.0,0.0,125000.0,0.0,4819818.0,10298756.0,48320.0,1288.0,350.0,376.0
Ecuador,1.0062,108.0,9.0,0.0,22.0,29.0,50.0,0.0,232.0,413.0,15.0,102.0,26.0,19.0,0.0,2.0,0.0,2.0,2500000000.0,39290000000.0,432.0,531300.0,282000.0,8273000000.0,7696551.0,16498502.0,283560.0,2237.0,1500.0,2237.0
Egypt,0.1872,1054.0,215.0,88.0,59.0,387.0,294.0,81.0,4295.0,11700.0,1139.0,2189.0,1084.0,316.0,2.0,8.0,0.0,7.0,11200000000.0,77470000000.0,83.0,589400.0,832000.0,4400000000.0,42946553.0,99413317.0,1001450.0,2450.0,3500.0,2612.0
El Salvador,3.1291,51.0,0.0,15.0,2.0,3.0,31.0,0.0,0.0,125.0,0.0,70.0,0.0,4.0,0.0,0.0,0.0,0.0,167000000.0,15510000000.0,68.0,0.0,45600.0,0.0,3106010.0,6187271.0,21041.0,307.0,0.0,590.0
Estonia,2.5893,7.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,181.0,18.0,66.0,0.0,6.0,0.0,0.0,0.0,0.0,685000000.0,19050000000.0,18.0,0.0,27500.0,0.0,596014.0,1244288.0,45228.0,3794.0,335.0,657.0
Ethiopia,0.8581,86.0,24.0,0.0,9.0,20.0,33.0,8.0,400.0,114.0,67.0,650.0,183.0,84.98387096774194,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,350000000.0,26050000000.0,57.0,0.0,55000.0,428000.0,41143474.0,108386391.0,1104300.0,6171.3302752293575,104300.0,5925.0
Finland,0.8498,194.0,55.0,0.0,11.0,105.0,127.0,0.0,200.0,2050.0,100.0,627.0,75.0,246.0,0.0,0.0,0.0,0.0,3570000000.0,150600000000.0,148.0,0.0,205000.0,0.0,2307420.0,5537364.0,338145.0,1250.0,7842.0,2563.0
France,0.1702,1229.0,269.0,0.0,121.0,187.0,589.0,62.0,528.0,6028.0,109.0,12.0,13.0,180.0,4.0,9.0,11.0,11.0,41500000000.0,5360000000000.0,464.0,15170.0,1600000.0,72350000.0,30111868.0,67364357.0,643801.0,4853.0,8501.0,4072.0
Gabon,3.3736,23.0,6.0,0.0,2.0,0.0,15.0,0.0,0.0,70.0,0.0,16.0,0.0,10.0,0.0,0.0,0.0,0.0,83000000.0,6490000000.0,44.0,198800.0,16500.0,2000000000.0,842741.0,2119036.0,267667.0,885.0,1600.0,3261.0
Georgia,1.6679,66.0,0.0,10.0,2.0,12.0,38.0,9.0,143.0,950.0,69.0,133.0,51.0,9.0,0.0,0.0,0.0,0.0,327000000.0,16990000000.0,22.0,400.0,18500.0,35000000.0,2249744.0,4926087.0,69700.0,310.0,4349.0,1814.0
Germany,0.2186,712.0,128.0,74.0,71.0,26.0,386.0,56.0,245.0,4583.0,108.0,0.0,38.0,80.0,0.0,6.0,0.0,9.0,50000000000.0,5326000000000.0,539.0,43410.0,2500000.0,145400000.0,37010559.0,80457737.0,357022.0,2389.0,7467.0,3694.0
Ghana,2.0554,24.0,0.0,0.0,3.0,6.0,13.0,0.0,0.0,150.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,710000000.0,22140000000.0,10.0,151000.0,65000.0,660000000.0,12561805.0,28102471.0,238533.0,539.0,1293.0,2420.0
Greece,0.5311,566.0,187.0,0.0,15.0,143.0,231.0,29.0,1355.0,3691.0,547.0,463.0,152.0,116.0,0.0,11.0,0.0,13.0,4844000000.0,506600000000.0,77.0,2753.0,350000.0,10000000.0,4993347.0,10761523.0,131957.0,13676.0,6.0,1110.0
Guatemala,1.8302,33.0,0.0,4.0,8.0,6.0,15.0,0.0,12.0,135.0,0.0,106.0,0.0,26.0,0.0,0.0,0.0,0.0,240000000.0,22920000000.0,291.0,9666.0,85000.0,83070000.0,7063622.0,16581273.0,108889.0,400.0,990.0,1667.0
Honduras,2.0943,46.0,3.0,9.0,11.0,10.0,12.0,0.0,19.0,92.0,0.0,176.0,0.0,59.0,0.0,0.0,0.0,0.0,205000000.0,8625000000.0,103.0,0.0,60000.0,0.0,4104696.0,9182766.0,112090.0,832.0,465.0,1575.0
Hungary,0.8215,47.0,12.0,0.0,5.0,6.0,24.0,8.0,30.0,944.0,0.0,300.0,0.0,84.98387096774194,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,2080000000.0,138100000000.0,41.0,14000.0,145000.0,25100000.0,4618081.0,9825704.0,103000.0,6171.3302752293575,1622.0,2106.0
India,0.0953,2123.0,538.0,172.0,250.0,359.0,722.0,23.0,4292.0,8686.0,235.0,4060.0,266.0,285.0,1.0,16.0,10.0,13.0,61000000000.0,501600000000.0,346.0,733900.0,5000000.0,4621000000.0,622480340.0,1296834042.0,3287263.0,7000.0,14500.0,13888.0
Indonesia,0.2544,462.0,41.0,39.0,54.0,109.0,177.0,16.0,313.0,1178.0,153.0,366.0,36.0,282.0,0.0,5.0,0.0,7.0,7600000000.0,344400000000.0,673.0,801700.0,1630000.0,3230000000.0,130868127.0,262787403.0,1904569.0,54716.0,21579.0,2958.0
Iran,0.2191,509.0,155.0,23.0,62.0,94.0,100.0,12.0,2056.0,4300.0,570.0,2088.0,1935.0,398.0,0.0,34.0,0.0,7.0,19600000000.0,7995000000.0,319.0,4469000.0,2000000.0,158400000000.0,47324105.0,83024745.0,1648195.0,2440.0,850.0,5894.0
Iraq,0.7911,348.0,26.0,33.0,16.0,102.0,186.0,40.0,309.0,4739.0,44.0,120.0,30.0,60.0,0.0,0.0,0.0,0.0,1730000000.0,73020000000.0,102.0,4454000.0,825000.0,142500000000.0,16399240.0,40194216.0,438317.0,58.0,5279.0,3809.0
Ireland,1.9481,19.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,124.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,870000000.0,2470000000000.0,40.0,0.0,145000.0,0.0,2366779.0,5068050.0,70273.0,1448.0,956.0,443.0
Israel,0.3111,589.0,259.0,18.0,15.0,154.0,146.0,48.0,2760.0,10275.0,650.0,300.0,100.0,65.0,0.0,5.0,0.0,0.0,20000000000.0,88660000000.0,47.0,390.0,250000.0,12730000.0,3647983.0,8424904.0,20770.0,273.0,0.0,1068.0
Italy,0.2111,860.0,99.0,110.0,38.0,185.0,439.0,59.0,200.0,6947.0,54.0,108.0,21.0,249.0,2.0,8.0,4.0,12.0,27800000000.0,2444000000000.0,129.0,77530.0,1300000.0,556700000.0,28011003.0,62246674.0,301340.0,7600.0,2400.0,1836.0
Ivory Coast,2.0236,8.0,0.0,0.0,4.0,0.0,4.0,3.0,15.0,109.0,0.0,7.0,6.0,10.0,0.0,0.0,0.0,0.0,550000000.0,13070000000.0,27.0,54000.0,25600.0,100000000.0,11160747.0,26260582.0,322463.0,515.0,980.0,3458.0
Japan,0.1501,1561.0,279.0,12.0,60.0,427.0,637.0,119.0,1004.0,3130.0,238.0,500.0,99.0,155.0,4.0,20.0,40.0,0.0,49000000000.0,3240000000000.0,175.0,3841.0,4000000.0,44120000.0,53873803.0,126168156.0,377915.0,29751.0,1770.0,3964.2248062015506
Jordan,1.1441,278.0,44.0,4.0,16.0,75.0,146.0,47.0,1313.0,2897.0,461.0,72.0,88.0,37.0,0.0,0.0,0.0,0.0,2600000000.0,29340000000.0,18.0,22.0,110000.0,1000000.0,3346692.0,10458413.0,89342.0,26.0,540.0,1744.0
Kazakhstan,0.9098,222.0,76.0,39.0,18.0,18.0,71.0,18.0,650.0,800.0,0.0,300.0,100.0,15.0,0.0,0.0,0.0,0.0,4000000000.0,167500000000.0,96.0,1777000.0,245000.0,30000000000.0,8585003.0,18744548.0,2724900.0,26.0,0.0,13364.0
Kenya,1.5287,150.0,17.0,0.0,20.0,32.0,79.0,0.0,76.0,479.0,30.0,25.0,0.0,19.0,0.0,0.0,0.0,0.0,121000000.0,27590000000.0,197.0,0.0,82000.0,0.0,19600998.0,48397527.0,580367.0,536.0,0.0,3457.0
Kuwait,1.5701,85.0,27.0,0.0,2.0,13.0,40.0,16.0,367.0,745.0,98.0,0.0,27.0,38.0,0.0,0.0,0.0,0.0,6831000000.0,47240000000.0,7.0,2753000.0,345000.0,101500000000.0,1641971.0,2916467.0,17818.0,499.0,0.0,475.0
Kyrgyzstan,1.9244,5.0,0.0,0.0,0.0,0.0,5.0,2.0,150.0,385.0,30.0,141.0,21.0,84.98387096774194,0.3826086956521739,4.8,2.0521739130434784,3.5217391304347827,20000000.0,8164000000.0,28.0,1000.0,17200.0,40000000.0,3029935.0,5849296.0,199951.0,6171.3302752293575,600.0,4573.0
Laos,3.4433,33.0,0.0,0.0,2.0,4.0,27.0,0.0,65.0,30.0,0.0,62.0,0.0,36.0,0.0,0.0,0.0,0.0,18500000.0,14900000000.0,41.0,0.0,4500.0,0.0,3248143.0,7234171.0,236800.0,6171.3302752293575,4600.0,5274.0
Latvia,2.0145,5.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,303.0,47.0,20.0,0.0,18.0,0.0,0.0,0.0,0.0,724000000.0,40020000000.0,42.0,0.0,32500.0,0.0,840595.0,1923559.0,64589.0,498.0,300.0,1370.0
Lebanon,2.5193,70.0,0.0,9.0,0.0,0.0,55.0,0.0,366.0,2228.0,12.0,374.0,30.0,57.0,0.0,0.0,0.0,0.0,2500000000.0,39300000000.0,8.0,0.0,110000.0,0.0,2135026.0,6100075.0,10400.0,225.0,170.0,484.0
